age,workclass,fnlwgt,education.num,marital.status,race,sex,hours.per.week,native.country,income
48,0,80430,7,0,0,0,30,1,1
18,0,166889,10,0,1,0,35,1,1
33,-1,295621,13,1,1,1,25,1,0
26,0,34803,9,0,0,0,40,1,1
42,-1,34037,13,0,0,1,35,1,1
18,-1,175648,7,0,0,1,40,1,1
32,-1,171091,9,1,0,1,40,1,1
22,-1,214014,10,0,1,1,55,1,0
63,1,109849,13,0,1,0,21,1,1
18,0,104704,9,0,1,1,40,1,1
40,0,163215,13,0,0,0,40,1,0
25,0,231714,10,1,0,1,40,1,1
22,0,83315,9,0,0,1,40,1,1
25,0,122489,13,0,0,0,60,1,1
39,0,127772,9,1,0,1,44,1,0
40,0,30682,9,1,0,1,45,1,0
38,0,258888,10,1,0,0,35,1,0
29,0,95465,9,0,0,1,42,1,1
23,0,253190,12,1,0,1,25,1,1
44,0,138845,10,1,0,1,40,1,1
27,0,384308,10,0,0,1,45,1,1
19,-1,291509,8,0,0,1,28,1,1
41,0,283116,9,0,0,0,50,1,1
20,-1,201680,10,0,0,1,35,1,1
42,-1,120539,13,1,0,1,50,1,0
46,0,101455,9,1,0,0,40,1,1
29,0,159479,9,1,4,1,55,1,1
59,0,152968,10,0,0,1,40,1,1
27,0,103524,9,0,0,1,40,1,1
33,1,70164,13,0,3,1,60,1,1
19,0,83930,9,0,0,0,20,1,1
61,-1,111563,13,1,0,1,20,1,0
51,0,100933,9,0,0,0,40,1,1
30,0,158002,10,0,0,1,55,0,1
51,-1,99185,12,1,0,1,40,1,0
35,0,224566,10,0,0,1,60,1,1
45,0,168038,13,0,0,1,60,1,0
29,0,134890,13,1,0,1,40,1,0
22,0,243842,5,0,0,1,40,1,1
55,0,23789,9,0,0,0,40,1,1
46,1,160187,14,0,1,0,35,1,1
42,1,53727,9,1,0,1,40,0,1
45,1,224474,13,0,0,0,50,1,0
47,0,188330,9,1,0,1,25,1,1
47,-1,173783,13,1,0,1,60,1,0
64,0,165020,7,1,0,1,48,1,1
48,0,425199,10,0,0,1,45,1,1
47,0,107682,9,0,0,0,48,1,1
39,-1,211785,9,0,1,0,20,1,1
33,0,424719,13,0,0,0,40,1,1
35,0,275522,4,0,0,0,80,1,1
45,0,107682,9,0,0,0,40,1,1
38,1,210991,13,1,0,1,40,1,1
38,0,184801,13,1,0,1,60,1,0
30,-1,153549,9,1,0,1,50,1,0
27,-1,175552,3,1,0,0,40,0,1
20,-1,150084,10,0,0,1,25,1,1
31,0,112062,13,0,0,0,40,1,1
36,0,99270,9,1,0,0,40,1,1
44,0,116391,13,0,0,1,40,1,1
22,0,56582,9,0,0,1,50,1,1
44,1,73199,11,0,2,1,40,1,1
39,0,315776,14,0,1,1,52,1,0
60,-1,137733,13,1,0,1,50,1,1
66,-1,260111,10,1,0,1,40,1,0
41,0,89226,9,0,0,1,40,1,1
50,0,38310,4,0,0,0,40,1,1
39,-1,154641,9,0,0,1,60,1,1
57,1,192258,10,0,0,1,40,1,1
42,1,147510,13,0,0,1,40,1,1
54,0,398212,9,1,1,1,40,1,1
53,0,169182,6,1,0,0,40,0,1
22,1,334693,10,0,0,0,40,1,1
38,0,179668,13,1,0,1,50,1,0
90,-1,256514,13,0,0,0,10,1,1
37,0,292855,11,1,0,0,35,1,0
33,-1,37939,13,1,0,1,35,1,1
59,0,159937,9,1,0,1,48,1,1
34,1,287908,9,0,1,1,42,1,1
22,-1,110622,13,0,2,0,15,0,1
19,-1,440417,10,0,0,0,15,1,1
25,1,104097,14,0,0,1,40,1,1
44,1,240628,12,0,0,0,40,1,1
20,0,113200,10,0,0,0,6,1,1
34,-1,260560,9,0,0,1,50,1,1
60,0,39952,5,1,0,1,37,1,1
53,0,22418,9,1,0,1,40,1,1
28,0,181659,7,0,0,1,50,1,1
43,1,139734,13,1,0,1,40,1,0
20,0,186830,9,0,1,1,45,1,1
28,0,110981,10,0,0,1,40,1,1
22,0,173736,9,1,0,1,40,1,1
65,0,205309,9,1,0,1,24,1,1
42,0,190543,10,1,0,0,40,1,0
42,0,213821,9,1,0,1,40,1,0
45,1,167334,14,0,0,1,50,1,0
47,1,109705,9,0,0,0,40,1,1
35,0,152375,9,0,0,1,45,1,1
51,0,200450,9,1,0,1,48,1,1
52,1,314627,14,0,2,0,40,1,1
26,0,130620,12,1,2,0,40,0,1
47,1,219632,12,0,0,1,40,1,1
26,0,261203,4,0,4,0,30,0,1
36,0,210452,13,0,0,1,45,1,1
70,1,176493,10,0,0,0,17,1,1
59,0,147989,9,1,0,1,40,0,1
46,1,327786,11,0,0,0,42,1,1
35,0,230054,4,1,0,1,40,0,1
31,1,127651,6,0,0,1,40,1,1
40,0,201734,10,0,0,1,48,1,1
51,0,29580,7,1,0,1,30,1,0
38,0,128033,10,1,0,1,60,1,1
42,-1,269733,14,1,0,1,80,1,0
41,-1,438696,14,0,0,1,5,1,0
38,0,190759,7,1,0,1,40,1,1
60,0,116707,7,0,0,1,40,1,1
28,0,291374,8,0,1,0,40,1,1
45,0,182313,13,1,0,1,50,1,0
47,0,275095,10,0,0,0,40,1,1
61,0,149981,9,1,0,0,5,1,1
28,-1,175406,14,1,0,0,30,1,0
39,1,126336,9,0,0,1,40,1,1
32,0,193042,15,1,0,1,60,1,0
41,1,185057,9,0,0,0,40,1,1
25,0,175540,9,0,0,1,50,1,1
44,0,476391,10,0,0,0,40,1,1
34,0,300687,9,1,1,1,40,1,1
32,0,212064,13,1,0,0,40,1,0
19,0,28790,10,0,0,0,40,1,1
61,0,130684,10,1,0,1,42,1,1
54,-1,104748,6,1,0,1,65,1,1
22,0,332657,10,0,0,0,40,1,1
59,0,91384,16,1,0,1,60,1,0
28,-1,31717,9,1,0,1,45,1,0
35,-1,188563,9,0,0,1,50,1,1
34,0,155343,9,1,0,1,50,1,0
24,0,454941,9,1,0,1,40,1,1
26,0,162872,12,0,0,0,40,1,1
41,0,271753,13,1,0,1,40,1,1
24,0,39615,13,0,0,1,45,1,1
32,0,196342,16,0,0,1,40,1,0
26,0,333108,9,0,0,1,40,1,1
25,-1,182750,13,0,0,1,45,1,0
55,0,56645,13,0,2,1,40,1,1
49,0,122066,3,1,0,1,40,0,1
44,0,277647,9,1,0,1,40,1,0
54,-1,147239,16,1,0,1,60,1,0
54,1,375134,11,0,0,1,40,1,1
54,1,138852,9,1,0,1,40,1,1
26,0,108542,9,0,0,1,35,1,1
18,0,91525,9,0,0,1,25,1,1
34,-1,343789,13,1,0,1,55,1,0
39,-1,124090,5,1,0,1,40,1,1
43,1,19914,10,0,3,0,15,1,1
50,0,269095,13,0,0,0,40,1,0
26,1,53903,9,0,0,1,50,1,1
36,0,114988,9,0,0,0,40,1,1
39,0,176101,13,1,0,1,40,1,1
19,0,211355,9,0,0,1,12,1,1
18,-1,128538,10,0,0,0,6,1,1
61,-1,176965,15,1,0,1,50,1,0
21,0,237651,10,0,0,1,35,1,1
17,0,225507,7,0,1,0,15,1,1
38,0,333651,13,1,0,1,70,1,0
55,1,84564,15,0,0,0,39,1,1
34,0,198183,9,0,0,0,40,1,1
21,0,307315,10,0,0,1,40,1,1
28,0,181659,9,1,0,1,40,1,1
46,0,27802,11,1,0,1,40,1,1
38,0,34996,10,0,0,0,40,1,1
43,-1,170785,10,1,0,1,55,1,1
25,-1,86745,13,0,2,0,40,1,1
54,-1,91506,10,1,0,1,65,1,1
32,1,235109,13,1,0,0,40,1,1
30,-1,146161,9,1,0,1,50,1,0
47,-1,224108,9,0,0,0,40,1,1
37,0,193952,9,0,1,0,40,0,1
38,0,103751,5,1,0,1,40,1,1
59,1,196013,13,1,0,1,40,1,0
33,0,96128,7,0,0,1,40,1,1
38,1,329980,9,0,0,1,40,0,1
33,0,119913,11,1,0,1,40,1,0
66,0,210825,10,1,0,1,40,1,0
17,-1,143034,6,0,0,1,4,1,1
31,0,286406,9,0,0,1,40,1,1
81,0,100675,2,1,0,1,15,0,1
34,0,234386,12,0,0,1,50,1,1
22,0,157332,9,0,0,0,35,1,1
42,0,230959,13,1,2,0,40,0,0
46,0,169042,6,0,0,0,25,0,1
38,0,181716,8,1,0,1,48,1,1
60,0,182687,12,0,0,0,40,1,1
40,0,145649,9,0,1,0,25,1,1
50,0,237729,9,0,0,0,72,1,0
38,0,132879,9,1,0,1,50,1,0
35,0,374524,15,1,0,1,75,1,0
36,0,184655,6,0,0,1,48,1,1
65,-1,117162,11,1,0,0,56,1,0
39,0,160402,10,0,0,1,38,1,1
17,0,38611,7,0,0,0,23,1,1
48,0,99096,10,0,0,0,38,1,1
42,0,175526,9,1,0,1,40,1,1
45,0,287190,12,0,1,1,35,1,1
20,0,147171,10,0,2,0,40,0,1
49,0,240859,7,1,0,1,40,0,1
35,0,212465,9,1,0,1,40,1,0
18,0,115839,8,0,0,0,30,1,1
50,0,166220,12,1,0,0,40,1,1
35,0,422933,13,0,0,1,37,1,1
38,0,140854,13,1,0,1,40,1,0
69,-1,171050,9,0,0,0,9,1,1
38,0,179117,12,0,1,0,50,1,0
23,0,183327,9,0,1,0,20,1,1
67,1,44774,13,0,0,0,40,1,1
21,-1,212888,7,1,0,0,56,1,1
28,0,184078,8,0,0,0,40,1,1
58,-1,143731,9,1,0,1,72,1,0
20,0,124751,10,0,0,0,20,1,1
43,0,144778,9,1,0,1,50,1,0
35,0,187053,9,0,0,0,60,1,0
22,0,163870,9,0,0,1,40,1,1
30,0,53285,9,1,0,1,52,1,0
18,1,59342,7,0,0,0,5,1,1
30,0,207301,9,0,0,0,40,1,1
61,0,149405,9,1,1,1,40,1,1
45,0,232586,10,1,0,1,50,1,0
46,0,86220,13,0,0,0,40,1,1
30,-1,123397,10,0,0,0,30,1,1
18,0,170544,7,0,0,1,20,1,1
40,0,29927,9,0,0,0,45,0,1
38,0,103474,13,0,0,0,45,1,1
57,0,230899,3,0,0,0,40,1,1
27,0,289147,9,0,0,0,40,1,1
32,-1,335427,13,1,0,0,20,1,0
21,0,254904,9,0,0,0,30,1,1
27,0,129528,10,0,0,0,40,1,1
61,1,115023,9,1,0,1,40,1,1
27,0,405855,5,0,0,1,40,0,1
22,0,228465,9,1,1,1,40,1,1
35,0,24106,10,1,0,1,40,1,0
32,0,54782,10,0,0,0,40,1,1
50,0,195298,10,1,0,1,50,1,0
34,0,27153,9,1,0,1,40,1,1
44,0,288433,10,0,1,0,40,1,1
35,-1,187046,14,1,0,1,50,1,1
36,0,198587,13,0,0,1,40,1,1
21,0,351084,9,0,0,0,40,1,1
41,-1,89942,9,0,0,1,45,1,1
49,0,360491,9,0,0,0,40,1,1
40,-1,89413,9,1,0,1,40,1,1
54,1,168553,13,1,0,1,40,1,1
25,0,141876,14,0,0,1,45,0,1
26,0,176795,13,0,0,0,40,1,0
28,0,487347,9,0,0,1,45,1,1
18,0,195372,7,0,0,0,20,1,1
23,0,187513,10,0,0,1,32,1,1
49,0,125892,9,1,0,1,40,1,1
25,1,198813,13,0,1,0,40,1,1
19,1,234151,9,0,1,0,40,1,1
57,1,174132,14,1,1,0,40,1,0
25,0,356017,7,0,0,1,99,1,1
38,1,216924,11,1,0,1,40,1,1
66,0,216856,14,1,0,1,50,1,1
49,-1,246739,10,1,0,1,45,1,0
36,1,191161,10,1,0,1,57,1,0
44,0,367749,2,0,0,0,40,0,1
43,1,241506,13,0,0,0,36,1,1
42,1,100793,13,1,0,1,60,1,0
23,0,126945,13,1,0,1,40,1,1
29,0,199116,9,1,0,1,40,0,1
52,0,53497,11,1,0,1,40,1,1
39,0,375452,15,1,0,0,48,1,0
26,0,236068,10,0,0,0,20,1,1
21,0,306114,10,0,0,1,20,1,1
39,0,100669,10,1,2,1,40,1,1
